X,Y,Z,LocType,LocIP,LocX,LocY,DeltaX,DeltaY,RFIDUID,WIFIRSSI,SpecialDistance,HallStrength,SEEK
1,1,2,,,0,0,,,,,,,
2,1,2,,,0,0,,,,,,,
3,1,2,,,1350,0,,,,,,,
4,1,2,,,2700,0,,,,,,,
5,1,2,,,4050,0,,,,,,,
6,1,2,,,5400,0,,,,,,,
7,1,2,,,6750,0,,,,,,,
8,1,2,,,8100,0,,,,,,,
9,1,2,,,9450,0,,,,,,,
10,1,2,,,10800,0,,,,,,,
11,1,2,,,12150,0,,,,,,,
12,1,2,,,14260,0,,,,,,,
1,2,2,,,0,1370,,,,,,,
2,2,2,,,1350,1370,,,,,,,
3,2,2,,,2700,1370,,,,,,,
4,2,2,,,4050,1370,,,,,,,
5,2,2,,,5400,1370,,,,,,,
6,2,2,,,6750,1370,,,,,,,
7,2,2,,,8100,1370,,,,,,,
8,2,2,,,9450,1370,,,,,,,
9,2,2,,,10800,1370,,,,,,,
10,2,2,,,12150,1370,,,,,,,
11,2,2,,,13500,1370,,,,,,,
12,2,2,,,15610,1370,,,,,,,
1,3,2,,,0,2740,,,,,,,
2,3,2,,,1350,2740,,,,,,,
3,3,2,,,2700,2740,,,,,,,
4,3,2,,,4050,2740,,,,,,,
5,3,2,,,5400,2740,,,,,,,
6,3,2,,,6750,2740,,,,,,,
7,3,2,,,8100,2740,,,,,,,
8,3,2,,,9450,2740,,,,,,,
9,3,2,,,10800,2740,,,,,,,
10,3,2,,,12150,2740,,,,,,,
11,3,2,,,13500,2740,,,,,,,
12,3,2,,,15610,2740,,,,,,,
1,3,2,,,0,4110,,,,,,,
2,3,2,,,1350,4110,,,,,,,
3,3,2,,,2700,4110,,,,,,,
4,3,2,,,4050,4110,,,,,,,
5,3,2,,,5400,4110,,,,,,,
6,3,2,,,6750,4110,,,,,,,
7,3,2,,,8100,4110,,,,,,,
8,3,2,,,9450,4110,,,,,,,
9,3,2,,,10800,4110,,,,,,,
10,3,2,,,12150,4110,,,,,,,
11,3,2,,,13500,4110,,,,,,,
12,3,2,,,15610,4110,,,,,,,
